#Input	data/reads/mmus_CEBPA_s_reads.bed
#Reference	data/reads/mmus_Input_s_reads.bed
#Sequence length	32
#Fragment length	32
#Background	0.000000
#Position Background	1.315142
#Long Background	6.575710
#Threshold	5.000000
#Minimum count above bg	527
#Penalty increase	70
#Quality cutoff	0.000000
#Result cutoff	0.000000
#Penalty factor	2.740832
#Region	Start pos.	End pos.	Count	Length	Unique pos.	Score	Ref. count	Max. Coverage	Summit
chr11	36957573	36957861	554	289	217	214.693374	0	117.000000	36957749
chr11	36963533	36963827	708	295	239	360.802523	0	154.000000	36963677
chr11	43164885	43165144	805	260	222	501.091659	1	213.000000	43165040
chr11	50456099	50456409	676	311	240	305.019419	1	124.000000	50456224
chr11	51571214	51571492	625	279	213	303.994814	1	154.000000	51571381
chr11	53122410	53122675	566	266	205	251.459976	2	132.259168	53122556
chr11	57909086	57909394	758	309	249	399.116265	1	204.259168	57909178
chr11	67043512	67043801	808	290	242	464.637401	1	199.000000	67043657
chr11	70826351	70826681	593	331	251	190.234917	3	120.000000	70826499
chr11	80003831	80004116	841	286	244	505.638800	0	218.000000	80003954
chr11	83561309	83561611	833	303	248	472.540555	1	185.000000	83561418
chr11	86417277	86417577	873	301	252	515.170839	1	257.259168	86417450
chr11	88745735	88746002	683	268	219	371.200808	1	204.000000	88745861
chr11	89993928	89994191	566	264	201	271.820188	0	121.000000	89994010.5
chr11	90120510	90120805	760	296	231	416.747948	0	222.000000	90120628
chr11	100799488	100799831	774	344	264	375.511986	0	155.000000	100799703
chr11	106354667	106354921	651	255	209	356.408201	0	178.000000	106354803
chr11	109567396	109567653	656	258	200	351.981112	2	160.000000	109567609
chr12	7956942	7957239	602	298	225	247.784621	4	117.000000	7957092
chr12	8439681	8440022	1259	342	304	847.250019	1	322.000000	8439827
chr12	8836619	8836890	764	272	217	447.050788	0	193.000000	8836779
chr12	15660084	15660666	1553	583	500	822.764569	3	241.000000	15660496
chr12	16049133	16049473	1072	341	296	661.565161	1	254.000000	16049273
chr12	26501181	26501416	555	236	187	277.173403	3	129.000000	26501304
chr12	27001153	27001433	582	281	223	250.473678	1	129.000000	27001366.5
chr12	27145122	27145385	560	264	193	250.831092	1	155.000000	27145252
chr12	35674295	35674566	614	272	215	294.309956	1	121.000000	35674425
chr12	42710253	42710497	538	245	190	253.818789	1	152.000000	42710355
chr12	52374553	52374831	659	279	219	330.103962	1	142.259168	52374644
chr12	58545468	58545703	629	236	183	367.286750	0	175.000000	58545504
chr12	58998801	58999045	554	245	186	269.818789	1	160.000000	58998923.5
chr12	60231192	60231465	624	274	193	330.449073	2	164.259168	60231351.5
chr12	71334644	71334909	703	266	218	393.146234	1	158.000000	71334779.5
chr12	72506352	72506621	597	270	205	276.088860	3	209.000000	72506475
chr12	73037558	73037845	786	288	236	439.786021	3	216.259168	73037677
chr12	73591022	73591331	826	310	255	459.075393	0	161.000000	73591228
chr12	74582193	74582472	676	280	230	351.159936	0	166.000000	74582325
chr12	76573976	76574359	787	384	305	321.329198	1	139.000000	76574066
chr12	76587957	76588200	591	244	193	312.189904	0	156.000000	76588104
chr12	76767922	76768201	608	280	220	280.529652	0	151.000000	76768069
chr12	77016737	77017028	860	292	245	518.063090	0	209.000000	77016853
chr12	79307246	79307576	898	331	280	503.346864	1	179.000000	79307486
chr12	82213393	82213636	586	244	198	305.874763	0	134.000000	82213481
chr12	82290741	82290995	585	255	201	284.926537	2	144.000000	82290857.5
chr12	86288898	86289163	612	266	206	319.927937	1	135.000000	86289040
chr12	86494066	86494346	789	281	236	460.214510	0	214.000000	86494192
chr12	88495456	88495757	755	302	248	393.114865	2	219.000000	88495552
chr12	88734419	88734689	601	271	213	283.829692	2	142.000000	88734532
chr12	94550699	94550978	861	280	238	530.788820	1	224.000000	94550818
chr12	100472655	100472901	536	247	194	251.929337	0	118.000000	100472771
chr12	100673454	100673746	925	293	253	577.691975	1	270.000000	100673600
chr12	104972406	104972687	681	282	229	348.158536	1	159.000000	104972564
chr12	105007848	105008094	587	247	199	300.188505	1	149.000000	105007994
chr12	105062104	105062375	644	272	215	320.143434	3	176.000000	105062240.5
chr12	105097860	105098128	629	269	211	313.255382	1	149.000000	105098009
chr12	105139219	105139478	644	260	211	340.091659	1	161.259168	105139360
chr12	105281041	105281324	696	284	229	364.105362	1	128.000000	105281162
chr12	111037110	111037386	791	277	229	459.252583	3	203.000000	111037240
chr12	111297636	111297908	669	273	219	351.940240	1	168.000000	111297791
chr12	113334501	113334749	661	249	202	374.299053	0	205.000000	113334600
chr12	113867609	113867916	640	308	232	270.224014	2	143.000000	113867804
chr12	118963540	118963797	550	258	194	248.721943	1	164.000000	118963668
chr13	9577748	9578003	602	256	199	303.352227	1	167.000000	9577901
chr13	13556289	13556555	539	267	195	228.626497	0	105.000000	13556427
chr13	13681372	13681620	644	249	207	353.132531	2	183.000000	13681484
chr13	23960624	23960932	860	309	261	494.390535	0	196.000000	23960763
chr13	24883267	24883510	682	244	203	399.133931	1	180.000000	24883382
chr13	28620835	28621115	778	281	232	449.214510	0	205.000000	28620971
chr13	31573364	31573690	1008	327	277	615.977148	1	226.000000	31573571
chr13	34382216	34382496	747	281	229	409.992015	3	191.000000	34382346
chr13	36712853	36713151	868	299	253	517.487381	0	155.000000	36713052.5
chr13	38214259	38214533	558	275	211	250.093059	0	131.000000	38214403
chr13	38588619	38588889	543	271	202	227.365930	0	150.000000	38588767
chr13	40413163	40413454	943	292	243	600.582826	1	281.000000	40413309
chr13	41101731	41101995	643	265	209	335.146234	1	194.000000	41101871
chr13	42819440	42819685	581	246	192	290.021983	3	146.000000	42819551.5
chr13	46333055	46333372	975	318	267	606.649703	1	227.000000	46333179
chr13	52121028	52121285	562	258	201	260.611395	2	190.000000	52121148
chr13	52275414	52275667	590	254	193	296.723343	0	164.000000	52275563
chr13	52918199	52918455	753	257	219	450.296254	2	228.000000	52918329
chr13	54730541	54730850	769	310	255	399.334561	1	177.259168	54730731
chr13	55462608	55462868	572	261	197	266.776517	1	150.259168	55462732
chr13	60609574	60609843	751	270	222	436.681072	0	220.000000	60609688
chr13	60761401	60761666	650	266	214	340.941639	0	136.000000	60761543
chr13	64282196	64282484	602	289	222	259.952543	1	123.000000	64282346
chr13	81350510	81350773	619	264	208	309.831092	1	137.000000	81350650
chr13	89705980	89706226	592	247	197	302.447673	2	141.259168	89706114.5
chr13	97512867	97513199	1037	333	282	637.180343	3	276.259168	97513064
chr13	99309312	99309573	686	262	213	376.720544	2	215.000000	99309451
chr13	102294276	102294542	683	267	226	367.144834	2	180.000000	102294431
chr13	103642911	103643213	845	303	254	486.485981	1	177.000000	103643055
chr14	9091793	9092081	618	289	221	278.843394	3	182.000000	9091923
chr14	18678351	18678700	956	350	295	536.469715	0	198.000000	18678546
chr14	26001062	26001343	571	282	209	242.103962	1	141.000000	26001224
chr14	26610479	26610758	704	280	227	373.788820	1	227.000000	26610629
chr14	29462639	29462901	648	263	216	345.517349	0	186.000000	29462760
chr14	31682493	31682738	583	246	195	292.021983	3	160.000000	31682585
chr14	32454665	32454910	619	246	198	333.503647	1	186.000000	32454824
chr14	46038321	46038548	551	228	185	293.751912	1	145.000000	46038408
chr14	47235782	47236085	646	304	247	286.966245	0	129.000000	47235917
chr14	48182227	48182520	848	294	251	499.376833	1	210.000000	48182403
chr14	51515866	51516124	645	259	212	345.147633	0	178.000000	51515996
chr14	55081053	55081318	659	266	214	349.941639	0	211.000000	55081183
chr14	56340128	56340375	538	248	195	249.873363	1	124.000000	56340268
chr14	61642920	61643207	559	288	216	218.404002	3	178.000000	61643093.5
chr14	61977149	61977404	615	256	205	319.093059	0	138.000000	61977273
chr14	65470494	65470751	592	258	214	290.721943	1	142.000000	65470623
chr14	65999332	65999578	574	247	195	281.706841	3	122.000000	65999424.5
chr14	66392083	66392382	588	300	224	228.745149	2	159.259168	66392259
chr14	69891775	69892023	625	249	190	343.968809	2	182.000000	69891892
chr14	72963810	72964081	721	272	219	405.681072	0	197.000000	72963939
chr14	73562256	73562566	833	311	251	470.116265	1	213.000000	73562357
chr14	73809928	73810265	1078	338	295	668.769755	2	248.000000	73810082
chr14	76192997	76193293	716	297	239	371.432806	0	167.000000	76193130
chr14	77275367	77275614	662	248	200	378.559621	0	162.000000	77275426
chr14	78909688	78909942	537	255	200	236.926537	2	142.000000	78909803.5
chr14	80033033	80033329	559	297	227	203.690575	2	99.000000	80033105.5
chr14	105699760	105700050	953	291	250	608.322259	1	302.000000	105699913.5
chr15	3201023	3201257	593	235	189	324.711040	0	171.000000	3201157
chr15	8363439	8363701	655	263	209	347.146234	1	192.000000	8363567
chr15	9206756	9207018	695	263	212	389.887065	0	178.000000	9206877
chr15	18882101	18882350	542	250	196	251.243079	1	146.000000	18882229
chr15	27911901	27912151	546	251	192	256.668769	0	167.000000	27912033
chr15	28304188	28304446	703	259	213	397.665970	2	176.518336	28304354
chr15	31513461	31513708	578	248	199	292.614195	0	166.000000	31513571
chr15	32894559	32894823	576	265	203	270.887065	0	133.000000	32894677
chr15	36324709	36325052	1092	344	296	680.360567	0	339.000000	36324894
chr15	38981788	38982074	665	287	227	337.529652	0	168.000000	38981928
chr15	42460220	42460528	764	309	251	398.390535	0	193.000000	42460383
chr15	54403930	54404218	825	289	240	485.693374	0	197.000000	54404064
chr15	57721007	57721280	541	274	212	221.420504	0	115.000000	57721098
chr15	57812368	57812615	624	248	197	330.391699	3	211.000000	57812493
chr15	59485380	59485669	772	290	235	444.529652	0	183.000000	59485492
chr15	59615913	59616133	653	221	178	397.641364	2	189.000000	59615955
chr15	59618317	59618589	547	273	208	228.514550	2	123.259168	59618425
chr15	61815056	61815301	820	246	212	537.244479	0	308.000000	61815161
chr15	62048566	62048830	678	265	209	370.256781	0	174.000000	62048653
chr15	62181595	62181852	578	258	195	276.611395	2	144.000000	62181791
chr15	65934950	65935235	796	286	241	457.897968	1	187.000000	65935057
chr15	67255572	67255880	595	309	234	229.279987	1	107.000000	67255763
chr15	73448094	73448350	542	257	196	244.777917	0	134.000000	73448211
chr15	76954846	76955177	941	332	290	545.142270	0	177.000000	76955018
chr15	76991352	76991621	640	270	218	322.940240	1	164.000000	76991471
chr15	78199504	78199766	706	263	215	395.405402	2	190.000000	78199629
chr15	78670672	78670983	900	312	258	522.222614	3	209.000000	78670849
chr15	81169650	81169915	830	266	224	527.517349	0	253.000000	81169820
chr15	88749902	88750184	568	283	218	236.584226	0	158.000000	88750066
chr15	91009174	91009447	629	274	222	309.420504	0	154.000000	91009295
chr15	91113280	91113681	713	402	296	239.217251	3	125.518336	91113558
chr15	96377721	96377976	542	256	195	246.093059	0	123.000000	96377811
chr15	96632880	96633144	591	265	206	283.256781	0	192.000000	96633017
chr15	97060195	97060475	566	281	214	226.251183	4	134.000000	97060354
chr15	97107027	97107284	541	258	197	246.408201	0	153.000000	97107164
chr16	6366862	6367119	553	258	201	253.037085	1	167.000000	6366988
chr16	16073481	16073726	567	246	194	281.503647	1	153.000000	16073618.5
chr16	20724345	20724598	551	254	193	257.723343	0	199.000000	20724469
chr16	23029110	23029424	897	315	265	518.018020	2	254.000000	23029277
chr16	23058091	23058382	763	292	240	419.747948	0	194.000000	23058203
chr16	23144506	23144789	726	284	226	390.528252	1	195.000000	23144681
chr16	24199923	24200191	606	269	213	290.255382	1	136.000000	24200048
chr16	29944045	29944320	632	276	225	307.049388	1	159.000000	29944195
chr16	33951065	33951401	1068	337	284	667.087696	0	250.000000	33951264
chr16	34825291	34825568	715	278	227	387.419104	1	207.000000	34825438
chr16	35046503	35046771	869	269	229	553.255382	1	202.000000	35046640
chr16	35075782	35076061	737	280	228	407.993414	2	177.000000	35075950.5
chr16	35932758	35933072	795	315	259	416.018020	2	196.000000	35932923
chr16	37580115	37580372	642	258	208	343.462775	0	201.000000	37580195
chr16	38285968	38286229	582	262	206	272.720544	2	188.259168	38286092
chr16	43398127	43398370	603	244	192	321.449073	1	158.000000	43398237
chr16	49896287	49896541	594	255	208	293.926537	2	155.000000	49896421
chr16	52129513	52129770	541	258	192	242.462775	0	126.000000	52129580.5
chr16	78308091	78308348	628	258	208	326.721943	1	170.259168	78308224
chr16	87611787	87612190	1148	404	339	649.229554	3	228.000000	87612058.5
chr16	90197028	90197293	659	266	217	347.200808	1	155.000000	90197195
chr16	91522848	91523106	654	259	207	348.665970	2	147.000000	91522978
chr16	91678776	91679098	919	323	266	536.183142	1	209.000000	91678935
chr16	91727677	91727978	875	302	253	507.633202	4	275.259168	91727854
chr16	92609842	92610100	577	259	197	274.406801	1	134.259168	92609976
chr17	5206802	5207064	678	263	214	370.146234	1	214.000000	5206940
chr17	13117978	13118268	743	291	232	398.322259	1	184.000000	13118093
chr17	24349291	24349560	570	270	210	250.199408	2	150.000000	24349430
chr17	24358071	24358473	680	403	266	229.632038	1	136.000000	24358191
chr17	24984376	24984679	649	304	236	291.281387	0	142.000000	24984515
chr17	26649412	26649696	645	285	230	305.992015	3	182.000000	26649554
chr17	26708397	26708644	703	248	207	414.873363	1	194.000000	26708545
chr17	28168283	28168525	547	243	190	262.708241	2	156.000000	28168439
chr17	28575708	28575979	536	272	205	219.050788	0	119.000000	28575852
chr17	33886435	33886698	609	264	204	299.831092	1	206.000000	33886567
chr17	34864879	34865162	789	284	238	450.787421	2	198.000000	34865019
chr17	34945602	34945890	832	289	238	488.305757	4	216.000000	34945736
chr17	39984597	39984952	1539	356	324	500.901548	223	1382.552552	39984779
chr17	40943404	40943677	585	274	224	262.679672	1	148.000000	40943531
chr17	45271004	45271252	548	249	194	255.817389	2	132.000000	45271139
chr17	45745380	45745710	1230	331	294	829.975748	2	385.000000	45745516
chr17	49508190	49508470	725	281	225	394.678272	2	148.000000	49508280
chr17	56359294	56359558	578	265	209	272.665970	2	135.000000	56359414
chr17	71649751	71650024	742	274	228	419.679672	1	184.000000	71649924
chr17	74299495	74299779	681	285	227	338.731447	3	140.000000	74299620
chr17	79469486	79469725	585	240	193	312.765614	0	179.000000	79469589
chr17	80394626	80394943	672	318	250	289.072594	2	118.000000	80394685.5
chr17	80960136	80960434	732	299	239	372.634601	3	220.000000	80960279
chr17	84235472	84235735	660	264	212	337.126933	6	144.000000	84235594
chr17	84667974	84668252	683	279	226	356.844794	0	161.000000	84668132
chr17	85131936	85132198	582	263	206	274.146234	1	128.259168	85132098
chr17	87175951	87176254	910	304	255	547.114865	2	219.259168	87176080
chr18	4644474	4644721	532	248	195	246.614195	0	176.000000	4644582
chr18	4969681	4969991	716	311	232	379.417705	2	198.518336	4969836
chr18	12961164	12961435	651	272	218	334.050788	0	149.000000	12961321
chr18	21089957	21090223	669	267	215	344.922339	5	174.259168	21090080
chr18	21304167	21304419	561	253	195	274.188505	1	137.000000	21304253
chr18	32717194	32717501	931	308	266	561.224014	2	219.000000	32717326
chr18	38871454	38871708	538	255	196	243.408201	0	129.000000	38871547
chr18	39601995	39602268	598	274	217	272.938840	2	165.000000	39602171
chr18	43246241	43246522	798	282	231	459.676873	3	221.000000	43246398
chr18	44715525	44715862	960	338	278	556.140870	1	241.000000	44715693
chr18	46763962	46764309	1040	348	299	623.099999	0	235.000000	46764104.5
chr18	51324878	51325153	631	276	216	306.049388	1	180.259168	51325006
chr18	55006122	55006398	758	277	228	430.679672	3	210.000000	55006259
chr18	55569054	55569363	706	310	249	336.334561	1	134.000000	55569248
chr18	56552367	56552633	736	267	221	422.885666	1	210.000000	56552512
chr18	56767523	56767779	549	257	197	251.777917	0	175.000000	56767660.5
chr18	66164843	66165117	840	275	233	516.364530	1	180.000000	66164974
chr18	68458808	68459049	595	242	195	317.505046	0	151.000000	68458927.5
chr18	84769990	84770314	932	325	276	542.607432	1	196.000000	84770172
chr18	85079355	85079652	733	298	247	383.172239	0	153.000000	85079468
chr19	3333291	3333595	684	305	241	323.651103	0	151.000000	3333423
chr19	3562724	3562958	629	235	198	357.970208	1	157.000000	3562785
chr19	11130296	11130550	554	255	199	257.982511	1	197.000000	11130400
chr19	12070642	12070899	567	258	183	265.390300	4	147.000000	12070791
chr19	12519529	12519867	1038	339	288	634.237716	1	290.000000	12519676
chr19	14694180	14694427	556	248	199	265.132531	2	126.000000	14694327
chr19	15979193	15979522	585	330	250	192.977148	1	122.000000	15979318
chr19	20626876	20627186	794	311	256	425.760251	0	190.000000	20627013
chr19	23102766	23103039	636	274	210	316.309956	1	150.000000	23102936
chr19	25020108	25020370	605	263	216	299.887065	0	148.000000	25020218
chr19	30181902	30182233	900	332	276	495.919775	3	315.000000	30182057
chr19	31945878	31946146	611	269	212	296.570524	1	166.000000	31946003.5
chr19	34516661	34516944	595	284	220	251.787421	4	155.259168	34516808
chr19	37517284	37517653	952	370	307	500.574664	3	201.000000	37517518
chr19	37777081	37777418	799	338	278	387.028923	3	143.000000	37777227
chr19	38316846	38317124	622	279	217	295.844794	0	171.000000	38316979
chr19	41492599	41492885	824	287	237	484.582826	1	210.000000	41492690
chr19	44096068	44096402	957	335	280	562.346864	1	235.000000	44096244
chr19	46975884	46976201	811	318	254	428.072594	2	210.000000	46976039
chr19	47294778	47295031	644	254	212	342.390300	4	139.259168	47294927
chr19	55206263	55206509	581	247	201	296.929337	0	130.000000	55206408
chr19	55213797	55214085	787	289	241	447.788820	1	194.000000	55213914
chr19	55332140	55332510	828	371	294	379.426044	1	178.000000	55332389.5
chr19	56352502	56352786	545	285	211	210.953942	0	117.000000	56352641
chr19	57441690	57441962	726	273	222	406.625098	1	175.259168	57441849
chr19	58091597	58091833	565	237	195	288.599093	2	176.000000	58091717
chr19	59146016	59146278	813	263	223	505.146234	1	184.000000	59146161
chr19	60657485	60657720	588	236	192	318.395898	0	205.000000	60657562.5
chr19	60871212	60871545	854	334	269	469.226813	0	202.000000	60871324
chr2	3590013	3590243	545	231	179	279.120228	2	161.259168	3590107
chr2	5977596	5977856	649	261	214	346.517349	0	137.000000	5977794.5
chr2	7188871	7189138	585	268	199	287.983911	1	138.000000	7189020
chr2	10047882	10048135	598	254	198	291.019184	5	138.000000	10048065.5
chr2	10058973	10059242	627	270	211	321.721943	1	157.000000	10059147
chr2	15068604	15068893	669	290	227	325.637401	1	149.000000	15068692.5
chr2	30055626	30055870	606	245	198	319.077957	2	158.000000	30055714
chr2	32274046	32274308	585	263	200	280.981112	2	135.000000	32274170
chr2	32556920	32557190	631	271	219	316.681072	0	148.000000	32557100
chr2	34683591	34683884	894	294	254	545.376833	1	257.000000	34683693
chr2	44776109	44776414	749	306	245	396.431407	1	158.000000	44776216
chr2	52360329	52360643	917	315	272	540.758852	1	213.000000	52360505
chr2	52457752	52458129	1206	378	319	761.150374	4	256.000000	52457935
chr2	54410738	54411018	767	281	228	440.105362	0	252.000000	54410857
chr2	60635472	60635757	620	286	226	281.897968	1	160.000000	60635602.5
chr2	63908131	63908673	1107	543	436	428.165653	2	162.000000	63908549
chr2	68634113	68634439	1007	327	276	614.977148	1	230.000000	68634299
chr2	72885112	72885360	642	249	201	349.817389	2	192.259168	72885241.5
chr2	75481231	75481524	665	294	241	314.840595	3	149.259168	75481346
chr2	79878185	79878440	576	256	203	277.352227	1	156.259168	79878335
chr2	103334003	103334284	659	282	227	328.899368	0	147.000000	103334121
chr2	104374877	104375162	627	286	206	288.897968	1	161.000000	104375008
chr2	105268313	105268632	1167	320	281	781.442310	2	567.000000	105268461.5
chr2	106493456	106493770	884	315	261	507.758852	1	214.000000	106493605
chr2	109302517	109302707	606	191	155	397.207570	0	231.000000	109302654.5
chr2	113915768	113916017	554	250	198	260.502247	2	130.259168	113915878
chr2	114600096	114600351	674	256	207	378.093059	0	185.000000	114600211
chr2	126426302	126426569	779	268	226	461.829692	2	192.000000	126426412
chr2	126521067	126521331	667	265	222	353.775118	2	184.259168	126521191.5
chr2	130758630	130758941	733	312	241	360.483182	3	143.518336	130758741
